Siruta,Localitate,Activitate
148612,Oras Frasin,Lemnului
66697,Cojasca,Lemnului
115851,Breaza,Alimentara
107662,Cicarlau,Lemnului
9360,Sofronea,Textila
140440,Camar,Textila
33952,Monor,Alimentara
58534,Marisel,Alimentara
17575,Mozaceni,Alimentara
66731,Comisani,ChimicaFarmaceutica
42156,Ungra,Lemnului
173230,Stoenesti,Alimentara
132271,Baltesti,Alimentara
9397,Vladimirescu,Energetica
58552,Mintiu Gherlii,Alimentara
115897,Brancovenesti,Textila
148667,Fratautii Noi,Mobila
83133,Municipiul Odorheiu Secuiesc,Textila
1213,Municipiul Aiud,Lemnului
140477,Carastelec,Alimentara
107715,Campulung La Tisa,Lemnului
91330,Soimus,Mobila
74949,Rojiste,Lemnului
33989,Nimigea,Alimentara
42183,Vama Buzaului,Alimentara
74956,Talpas,Alimentara
83151,Bradesti,Textila
165069,Oltenesti,Alimentara
66768,Contesti,Lemnului
17619,Musatesti,Lemnului
107733,Copalnic-Manastur,Lemnului
124117,Oras Roznov,Lemnului
148694,Fratautii Vechi,Alimentara
140501,Chiesd,Alimentara
132315,Banesti,Textila
50399,Valcelele,Alimentara
25825,Targu Trotus,Textila
50415,Zarnesti,Alimentara
9459,Oras Chisineu-Cris,ConstructiiMasini
132342,Bertea,Lemnului
115959,Ceuasu De Campie,Alimentara
148729,Frumosu,Lemnului
42236,Vistea,Mobila
83197,Feliceni,Lemnului
140547,Cizer,Lemnului
25861,Traian,Alimentara
99600,Trifesti,Alimentara
9495,Oras Curtici,Textila
34075,Nuseni,Alimentara
148765,Fundu Moldovei,Lemnului
140583,Coseiu,Lemnului
66857,Corbii Mari,Lemnului
50479,Ziduri,Textila
124206,Sabaoani,Alimentara
132404,Brebu,Lemnului
173374,Stoilesti,Mobila
9538,Oras Ineu,Textila
42307,Voila,Lemnului
165185,Padureni,Textila
1348,Municipiul Blaj,ConstructiiMasini
140627,Crasna,Textila
99673,Tibana,Alimentara
75098,Municipiul Galati,Metalurgica
107868,Coroieni,Mobila
157031,Gavojdia,Lemnului
9574,Oras Lipova,CalculatoareElectronica
75114,Sendreni,Textila
83320,Municipiul Miercurea Ciuc,Alimentara
34173,Petru Rares,Lemnului
140672,Creaca,Lemnului
132486,Carbunesti,Lemnului
148872,Galanesti,Lemnului
75150,Vanatori,Alimentara
107920,Cupseni,Mobila
9627,Oras Nadlac,Energetica
132510,Ceptura,Alimentara
157086,Oras Gataia,Alimentara
42398,Vulcan,Lemnului
116126,Chiheru De Jos,Lemnului
17824,Oarja,Alimentara
26029,Urechesti,Mobila
83375,Pauleni-Ciuc,Mobila
1455,Oras Campeni,Mobila
9654,Oras Pancota,Alimentara
148916,Gramesti,Alimentara
17851,Pietrosani,Lemnului
34235,Prundu Bargaului,Lemnului
75203,Municipiul Tecuci,Alimentara
99780,Tibanesti,Textila
107975,Desesti,Alimentara
67014,Cornesti,Alimentara
116171,Coroisanmartin,CalculatoareElectronica
75221,Draganesti,Alimentara
34262,Rebra,Alimentara
9690,Oras Sebis,Mobila
132574,Cerasu,Lemnului
173533,Stroesti,Lemnului
42464,Sambata De Sus,Lemnului
