Siruta,Localitate,Cifra de afaceri
1017,Municipiul Alba Iulia,1000535849.0
140280,Bobota,17268467.0
115708,Beica De Jos,7053263.0
107519,Budesti,965015.0
74750,Varvoru De Jos,0.0
156669,Denta,0.0
173061,Slatioara,0.0
123914,Raucesti,3493815.0
17423,Moraresti,4176585.0
42003,Tarlungeni,85020402.0
66580,Cobia,94603.0
58393,Manastireni,228861.0
107546,Calinesti,1408.0
25629,Strugari,0.0
164892,Miclesti,0.0
148514,Forasti,4078401.0
140324,Bocsa,857789.0
156712,Dudestii Vechi,3638039.0
99370,Sipote,3943353.0
132137,Aricestii Zeletin,0.0
9262,Municipiul Arad,6849000702.0
1071,Ciugud,15611575.0
50228,Vintila Voda,248497.0
33845,Micestii De Campie,3551047.0
115771,Bichis,0.0
107582,Cernesti,7628894.0
9280,Fantanele,24718183.0
123969,Razboieni,14035688.0
132164,Baba Ana,0.0
42058,Teliu,4016155.0
164936,Muntenii De Jos,575450.0
173132,Stanesti,164202.0
17496,Mosoaia,7932127.0
33881,Milas,93606.0
140379,Buciumi,1790154.0
74842,Catane,42133.0
25692,Tamasi,1127349.0
42076,Ticusu,5603705.0
156767,Dumbrava,319406.0
58464,Margau,1442389.0
91232,Santamaria-Orlea,2373721.0
74859,Carcea,120387437.0
99441,Tansa,0.0
115824,Bogata,3304779.0
74867,Carna,174692.0
9333,Livada,31160610.0
42101,Ucea,134659972.0
164981,Oras Murgeni,8568171.0
74875,Cotofenii Din Fata,0.0
124028,Rediu,235919.0
1151,Oras Abrud,4503549.0
132226,Balta Doamnei,0.0
74883,Dobrotesti,54.0
156801,Oras Faget,277406764.0
148612,Oras Frasin,9793001.0
66697,Cojasca,314688.0
74891,Galiciuica,0.0
115851,Breaza,39778014.0
107662,Cicarlau,30462451.0
9360,Sofronea,22067679.0
25745,Tatarasti,0.0
50326,Viperesti,0.0
99478,Tatarusi,0.0
74907,Ghidici,0.0
140440,Camar,1627283.0
33952,Monor,59247381.0
74915,Ghindeni,0.0
58534,Marisel,122672.0
17575,Mozaceni,4125365.0
124073,Romani,0.0
66731,Comisani,428384.0
74923,Intorsura,0.0
42156,Ungra,16300.0
173230,Stoenesti,1547936.0
132271,Baltesti,1099263.0
74931,Plesoi,0.0
9397,Vladimirescu,19422693.0
58552,Mintiu Gherlii,688210.0
115897,Brancovenesti,1796058.0
148667,Fratautii Noi,3769279.0
83133,Municipiul Odorheiu Secuiesc,790396705.0
1213,Municipiul Aiud,201056681.0
140477,Carastelec,1136932.0
107715,Campulung La Tisa,22189193.0
91330,Soimus,2551393.0
74949,Rojiste,439960.0
33989,Nimigea,5773.0
42183,Vama Buzaului,14419813.0
74956,Talpas,119461.0
83151,Bradesti,22582614.0
165069,Oltenesti,3352675.0
66768,Contesti,183495.0
99539,Todiresti,0.0
17619,Musatesti,4042859.0
107733,Copalnic-Manastur,1421682.0
124117,Oras Roznov,3969536.0
148694,Fratautii Vechi,2104437.0
140501,Chiesd,908060.0
132315,Banesti,9464865.0
50399,Valcelele,7401644.0
25825,Targu Trotus,59060083.0
50415,Zarnesti,2382618.0
9459,Oras Chisineu-Cris,535216255.0
132342,Bertea,53115.0
115959,Ceuasu De Campie,16365362.0
124153,Sagna,0.0
148729,Frumosu,9123246.0
42236,Vistea,119422.0
83197,Feliceni,5305964.0
156927,Fardea,0.0
58623,Mociu,0.0
140547,Cizer,506233.0
25861,Traian,8302145.0
165130,Osesti,0.0
99600,Trifesti,1929643.0
9495,Oras Curtici,856366950.0
132379,Boldesti-Gradistea,0.0
34075,Nuseni,488390.0
148765,Fundu Moldovei,8585980.0
140583,Coseiu,5539.0
66857,Corbii Mari,6827660.0
50479,Ziduri,1601575.0
124206,Sabaoani,22687297.0
91447,Tomesti,0.0
132404,Brebu,3619824.0
173374,Stoilesti,73772.0
17726,Negrasi,0.0
9538,Oras Ineu,20801460.0
42307,Voila,9126071.0
165185,Padureni,184351.0
1348,Municipiul Blaj,568715533.0
124233,Secuieni,0.0
25932,Ungureni,0.0
157004,Foeni,0.0
116046,Chetani,0.0
140627,Crasna,15988008.0
99673,Tibana,12561.0
75098,Municipiul Galati,5949413127.0
107868,Coroieni,2896486.0
58721,Moldovenesti,0.0
157031,Gavojdia,1525069.0
9574,Oras Lipova,178395085.0
132459,Calugareni,0.0
17771,Nucsoara,0.0
34155,Parva,0.0
75114,Sendreni,3414736.0
50549,Unguriu,0.0
83320,Municipiul Miercurea Ciuc,280950510.0
34173,Petru Rares,1556553.0
140672,Creaca,15300.0
50564,Florica,0.0
132486,Carbunesti,439830.0
66955,Cornatelu,0.0
148872,Galanesti,16707399.0
91535,Toplita,0.0
75150,Vanatori,188394011.0
107920,Cupseni,1651817.0
165274,Perieni,0.0
9627,Oras Nadlac,17779374.0
132510,Ceptura,83549150.0
157086,Oras Gataia,30823016.0
42398,Vulcan,5228701.0
116126,Chiheru De Jos,488074.0
17824,Oarja,8964556.0
58794,Palatca,0.0
124331,Stanita,0.0
26029,Urechesti,2034030.0
83375,Pauleni-Ciuc,2169931.0
1455,Oras Campeni,51264791.0
9654,Oras Pancota,31342728.0
148916,Gramesti,109859.0
17851,Pietrosani,48337821.0
34235,Prundu Bargaului,6920786.0
75203,Municipiul Tecuci,52256051.0
99780,Tibanesti,2883111.0
107975,Desesti,9886002.0
67014,Cornesti,1972183.0
116171,Coroisanmartin,95037.0
42449,Sinca Noua,0.0
75221,Draganesti,1951094.0
34262,Rebra,145234.0
42456,Crizbav,0.0
9690,Oras Sebis,81857325.0
165336,Poienesti,0.0
132574,Cerasu,485660.0
173533,Stroesti,447641.0
42464,Sambata De Sus,1313817.0
140770,Cristolt,64902.0
26083,Valea Seaca,0.0
83428,Oras Baile Tusnad,124950.0
34280,Rebrisoara,5295175.0
42472,Holbav,490640.0
58856,Panticeu,434695.0
148970,Granicesti,0.0
91624,Totesti,0.0
42480,Dragus,5470570.0
108017,Oras Dragomiresti,1209190.0
17913,Poienarii De Arges,2164701.0
124411,Stefan Cel Mare,1117207.0
75258,Munteni,711355.0
116224,Cozma,0.0
42498,Augustin,0.0
108035,Dumbravita,166419641.0
26118,Vultureni,2050.0
83464,Oras Balan,14642351.0
157193,Ghizela,0.0
9743,Almas,1121292.0
140823,Criseni,34270647.0
34333,Rodna,16717345.0
173597,Sutesti,2468788.0
83491,Oras Borsec,567407802.0
58918,Petrestii De Jos,1646524.0
99879,Tiganasi,280916.0
132645,Chiojdeanca,0.0
91688,Turdas,0.0
165416,Pogana,0.0
17968,Poienarii De Muscel,152195.0
67121,Costestii Din Vale,62334.0
34360,Romuli,18295098.0
149049,Horodniceni,6776846.0
157246,Giarmata,8059884.0
116288,Craciunesti,222532.0
83525,Oras Cristuru Secuiesc,72431853.0
9798,Apateu,1516455.0
140869,Cuzaplac,0.0
75338,Oras Beresti,440316.0
108106,Farcasa,9362063.0
132681,Ciorani,349471.0
124493,Tarcau,96390629.0
91731,General Berthelot,0.0
99922,Tutora,0.0
157273,Giera,332011.0
165470,Puiesti,0.0
34397,Salva,129569.0
75356,Beresti-Meria,49472.0
67167,Crangurile,28762819.0
50790,Municipiul Resita,966369695.0
9832,Archis,84303.0
83561,Municipiul Gheorgheni,160081057.0
18028,Poiana Lacului,7644837.0
58990,Ploscos,159319.0
132716,Cocorastii Mislii,3775119.0
149101,Horodnic De Jos,69936328.0
173686,Sirineasa,0.0
116340,Craiesti,0.0
34422,Silivasu De Campie,0.0
108151,Giulesti,1431988.0
99968,Valea Seaca,58953.0
157317,Giulvaz,8681689.0
149138,Iacobeni,2565131.0
91795,Vata De Jos,15473440.0
124563,Tasca,401426.0
132752,Colceag,1832217.0
140958,Dobrin,89346.0
9887,Bata,2094537.0
1696,Oras Cugir,636241860.0
59041,Poieni,2460560.0
100004,Victoria,0.0
116395,Cucerdea,2449491.0
34477,Sanmihaiu De Campie,60447.0
108204,Ieud,275179.0
157362,Jamu Mare,0.0
26289,Zemes,1341873.0
83632,Municipiul Toplita,62083166.0
173748,Stefanesti,3707894.0
67256,Darmanesti,4152925.0
42682,Municipiul Braila,1059146467.0
149183,Izvoarele Sucevei,2655430.0
108222,Lapus,914455.0
132805,Cornu,90887089.0
50889,Oras Anina,6671085.0
124616,Tazlau,560489.0
9930,Beliu,0.0
26320,Sarata,12217396.0
75472,Oras Targu Bujor,3153680.0
108240,Leordina,5487352.0
42708,Chiscani,22547818.0
116439,Cuci,0.0
124634,Tamaseni,6529137.0
67292,Dobra,8578.0
141027,Dragu,10129.0
26338,Buciumi,0.0
