Siruta,Localitate,CF/Loc
18670,Schitu Golesti,8838.354482758621
86366,Zetea,8817.521775265957
31510,Suncuius,8812.54976744186
119590,Solovastru,8782.711505039972
179908,Pietrari,8697.437318990484
14165,Baiculesti,8629.069721767593
130981,Oras Baicoi,8615.98018244731
106407,Recea,8583.799805004875
51573,Bozovici,8527.805491233874
17851,Pietrosani,8525.18888888889
169351,Daesti,8515.76568627451
87291,Municipiul Brad,8457.789671832841
148131,Dorna-Arini,8394.888431170615
93021,Bucu,8385.99028340081
143771,Oras Copsa Mica,8367.562881160376
67167,Crangurile,8349.149201741655
51010,Municipiul Caransebes,8322.230681036459
105160,Snagov,8318.084025730368
20297,Municipiul Bacau,8316.645342061795
136642,Oras Tasnad,8245.643637127258
139287,Valea Vinului,8243.382308845577
15108,Calinesti,8240.78125280043
150178,Sadova,8222.602073365231
174744,Municipiul Focsani,8197.170523106886
159730,Oras Macin,8169.191261261261
47916,Oras Nehoiu,8161.865858009276
7099,Sasciori,8097.492911668484
9360,Sofronea,8021.693565976008
83561,Municipiul Gheorgheni,7991.665768059508
64425,Ilieni,7988.389275074479
87745,Baia De Cris,7974.150449394295
168791,Budesti,7866.08199195171
100610,Municipiul Oltenita,7864.713312627938
158699,Sanmihaiu Roman,7841.254976170451
151683,Municipiul Turnu Magurele,7840.696275071633
136848,Oras Ardud,7838.182415225841
157497,Liebling,7747.160736196319
102543,1 Decembrie,7716.884231536927
174254,Voineasa,7703.172413793103
65501,Ulmi,7670.978689639537
1213,Municipiul Aiud,7639.512158978646
28246,Cefa,7619.653276955602
179347,Glina,7580.759465478842
20778,Oras Buhusi,7545.673529129475
105534,Tartasesti,7501.366354044549
11539,Paulis,7487.624423963133
156213,Carpinis,7446.05249204666
57902,Gilau,7412.508961397059
106684,Oras Baia Sprie,7380.454274179393
85528,Sarmas,7356.59009009009
32161,Paleu,7309.425035868006
35946,Oras Darabani,7306.048624140088
125472,Municipiul Caracal,7291.2175862851955
106979,Oras Viseu De Sus,7285.8563095041545
107662,Cicarlau,7277.22193024367
122953,Hangu,7229.15657461363
55106,Jichisu De Jos,7223.681146828844
151790,Municipiul Alexandria,7160.586285604681
168675,Berislavesti,7123.398699891658
59327,Savadisla,7106.063218390805
147786,Cornu Luncii,7106.020977128163
95060,Municipiul Iasi,7076.112159796538
87638,Municipiul Orastie,7049.486503230374
51056,Oras Moldova Noua,7043.470353982301
65113,Arcus,6995.46625
77224,Smardan,6973.047043979813
161829,Municipiul Husi,6935.1235417485905
147526,Cacica,6857.097405553027
44845,Municipiul Ramnicu Sarat,6779.01522532005
13490,Municipiul Campulung,6769.981815721824
12242,Sicula,6759.146598082768
1455,Oras Campeni,6719.726176432036
83525,Oras Cristuru Secuiesc,6706.032126654939
83320,Municipiul Miercurea Ciuc,6668.656776643722
9280,Fantanele,6658.9932650862065
125418,Oras Bals,6657.662135372416
60801,Oras Harsova,6649.593891906331
19249,Tigveni,6575.42660944206
131103,Oras Breaza,6554.821126088513
115637,Balauseri,6548.383987563156
41382,Maierus,6531.169729056369
16329,Dambovicioara,6522.563243243243
151095,Oras Vicovu De Sus,6389.658259149357
114453,Santana De Mures,6363.619155617585
101458,Oras Budesti,6356.6819591625745
122249,Damuc,6327.313131313132
49769,Topliceni,6323.548453608248
147054,Bogdanesti,6319.418610242847
13935,Albota,6285.1081700178165
19114,Stefan Cel Mare,6272.154334038055
26877,Municipiul Marghita,6260.7692307692305
153473,Olteni,6244.983916745507
119894,Oras Ungheni,6236.706397663924
171325,Mihaesti,6178.631695767978
161302,Somova,6158.023298589822
104582,Petrachioaia,6099.581015719468
123969,Razboieni,6094.523664785063
43563,Maxineni,6030.489807637095
149851,Poiana Stampei,6021.504117902037
60419,Municipiul Constanta,5942.51986325926
135315,Starchiojd,5864.426474442988
148872,Galanesti,5860.189056471413
77082,Rediu,5764.7585895117545
157834,Mosnita Noua,5751.876695929768
84558,Joseni,5744.945273631841
93156,Ciulnita,5742.141539695269
179409,Oras Magurele,5720.565653642065
133330,Floresti,5712.152900937421
4927,Ighiu,5633.796417649629
21560,Bogdanesti,5615.366898954704
117925,Livezeni,5582.293883792049
103032,Oras Fundulea,5525.249371766445
175055,Oras Panciu,5518.439806347498
16472,Dragoslavele,5491.452435312024
26320,Sarata,5490.964494382022
130712,Brazi,5480.542023393224
126772,Dobroteasa,5457.702114427861
90431,Pestisu Mic,5452.008680555556
66081,Oras Titu,5431.204999517421
14753,Bradulet,5428.406938325991
30149,Nojorid,5397.88477978071
83936,Bilbor,5390.352875280059
121652,Borca,5384.704231692677
84264,Dealu,5384.580126643936
18527,Rucar,5320.29083994709
33364,Ilva Mica,5305.846241783367
122864,Grinties,5303.256195043965
77313,Tudor Vladimirescu,5277.388208702204
146263,Municipiul Suceava,5275.448502562872
1071,Ciugud,5233.5149178679185
29948,Lunca,5229.891034985423
143682,Oras Agnita,5217.193906275874
92765,Oras Tandarei,5214.137711864407
42076,Ticusu,5207.904275092937
40438,Municipiul Sacele,5190.1757674921655
102160,Corbeanca,5104.359229147847
87059,Municipiul Lupeni,5088.6466563672475
146584,Oras Gura Humorului,5064.935867400726
23715,Nicolae Balcescu,5054.533280428529
42682,Municipiul Braila,5026.822467121344
123601,Pangarati,5012.237281976744
86687,Municipiul Deva,5007.863617009197
46484,Costesti,5002.919878910192
172340,Pietrari,4990.643534190927
42480,Dragus,4964.219600725953
50399,Valcelele,4954.246318607765
118691,Panet,4938.464998364409
161945,Municipiul Vaslui,4928.719037480007
143487,Cristian,4904.634390651086
16944,Lunca Corbului,4895.5766099185785
155911,Biled,4880.324277599408
